poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside",-0.23295462131500244,-0.24682097136974335,-0.25519365072250366,-0.25649362802505493,-0.2541360855102539,-0.2558959722518921,-0.24480026960372925,-0.26033106446266174,-0.2551197409629822,-0.25396600365638733,-0.2528298795223236
"without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",-0.23282958567142487,-0.24674943089485168,-0.25512415170669556,-0.2571236193180084,-0.25311946868896484,-0.2580752372741699,-0.24606779217720032,-0.261139839887619,-0.2554869055747986,-0.2540041506290436,-0.2517411708831787
"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",-0.2329113632440567,-0.24820759892463684,-0.25575146079063416,-0.2579421103000641,-0.25475266575813293,-0.2575639486312866,-0.24495770037174225,-0.2610796093940735,-0.2547524869441986,-0.25395888090133667,-0.25250545144081116
the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,-0.2328815907239914,-0.24643099308013916,-0.2543324828147888,-0.2553335726261139,-0.2523336708545685,-0.2557637691497803,-0.24405337870121002,-0.2585739195346832,-0.2538909912109375,-0.2521626055240631,-0.25176572799682617
"bear witness , once my comrades , what a hard-bit gang were we —<br>the servants of the sweep-head , but the masters of the sea !<br>by the hands that drove her forward as she plunged and yawed and<br>sheered ,<br>woman , man , or god , or devil , was there anything we feared ?",-0.23289284110069275,-0.24865251779556274,-0.255435973405838,-0.25744661688804626,-0.25413957238197327,-0.25744399428367615,-0.24512937664985657,-0.2611244320869446,-0.2547338902950287,-0.2544481158256531,-0.25194889307022095
"the day of the world shall come , and the world is free ! <br>i am not longer , my love , <br>and the simple power of all the rest . ” <br>the spirit of the silver",-0.23283223807811737,-0.2461402714252472,-0.2552149295806885,-0.25710999965667725,-0.253965824842453,-0.25809794664382935,-0.24487456679344177,-0.26043835282325745,-0.2542622685432434,-0.2531428933143616,-0.2506639361381531
"because) he always answered better, more,<br>perhaps, because he always answered( track,<br>before and after, progress, any score,<br>before, before the picture, any, all,<br>before the pictures ever happened) he,<br>because the picture always happens small,<br>because the picture always happened free,<br>because he only answered free because,<br>because, because. because because he draws.",-0.23285014927387238,-0.2450302690267563,-0.2539420425891876,-0.25634148716926575,-0.25287291407585144,-0.25641584396362305,-0.24320386350154877,-0.25920912623405457,-0.2536904811859131,-0.2526412606239319,-0.2512817680835724
"about an unemployment compensation. <br>is wrong but then some kids have fluent speakers, <br>their latest music on discrimination ! <br>they really wanna try to battle preachers. <br><br>we know another very lesson plan ! <br>as when the only little alto clef, <br>would ever mention me and horace mann ! <br>or see a million women getting deaf.",-0.23285910487174988,-0.2439926564693451,-0.2543664276599884,-0.258051335811615,-0.2522648870944977,-0.25735369324684143,-0.24259808659553528,-0.25948527455329895,-0.2548062801361084,-0.2535257935523987,-0.2516655921936035
"and when the child grew strive ,<br>and all the anguish become man .<br>we use his master<br>to earth and older , has they sink the horns .<br>the river comes , now still far , still comes clear ,<br>hear the clear feels",-0.23280735313892365,-0.2480916678905487,-0.2567754089832306,-0.2580024003982544,-0.25481006503105164,-0.2592849135398865,-0.24613822996616364,-0.26179003715515137,-0.25548043847084045,-0.25387638807296753,-0.2560126781463623
"it is because the ships beside the shore<br>spread their dark sails to the sea-blowing breeze ;<br>the tide is high , and soon will set toward the distant islands ,<br>and there is a gleam of swords and armour ,<br>for the soldiers go to war beyond the seas .",-0.2328094094991684,-0.24618487060070038,-0.25612831115722656,-0.2571260929107666,-0.2535179853439331,-0.25715965032577515,-0.24362754821777344,-0.2603895664215088,-0.25321945548057556,-0.2534392774105072,-0.25191596150398254
"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he ne'er unworthy are of praise <br>‘ tiske the modest proportions to",-0.23289085924625397,-0.24703003466129303,-0.25656846165657043,-0.2579959034919739,-0.2537844777107239,-0.257484495639801,-0.24529123306274414,-0.26047587394714355,-0.2558608949184418,-0.2535356283187866,-0.2525191009044647
"o night , hide me in your long cold arms :<br>let me sleep , but let me not live this life !<br>there are too many people with haggard eyes standing<br>before me<br>saying , “ to live you must suffer even as we . ”",-0.23279792070388794,-0.24840152263641357,-0.2548364996910095,-0.2562507688999176,-0.2525120973587036,-0.2556678354740143,-0.24603629112243652,-0.25984257459640503,-0.25344541668891907,-0.25227561593055725,-0.25208529829978943
"i sang a little bird <br>beneath the moon , <br>and the wind has a rose on the shore , <br>and the eye of the sun in the sky ,",-0.23290151357650757,-0.24744552373886108,-0.2563011944293976,-0.25657448172569275,-0.25275200605392456,-0.2574702799320221,-0.24585916101932526,-0.26012417674064636,-0.25481942296028137,-0.25335875153541565,-0.2518163025379181
"the world was in its day of peril dark and glorious <br>wont to believe the dot of fond love, with one <br>in the dawn of the very same ; and when the storm <br>in one dim bourne, from starry bade, iove's eye <br>that looked and",-0.23284712433815002,-0.24848298728466034,-0.25583356618881226,-0.2564287483692169,-0.2538248300552368,-0.2579492926597595,-0.24600262939929962,-0.2605024576187134,-0.25509583950042725,-0.2524111270904541,-0.2529042363166809
"as you forgot i may forget ,<br>when summer dews cease to be wet .<br>when whippoorwills disdain the night ,<br>when sun and moon are no more bright ,<br>and all the stars at midnight set .",-0.23285852372646332,-0.24787087738513947,-0.25738316774368286,-0.2596333920955658,-0.25542235374450684,-0.2601090669631958,-0.2477952092885971,-0.2624790072441101,-0.25639015436172485,-0.25625988841056824,-0.2526959180831909
"they are not dead , nor thousands of death ; <br>‘ tis not that the earth is not there . <br>then the same gray fox <br>that cannot be done .",-0.23281316459178925,-0.24905812740325928,-0.25401782989501953,-0.25541576743125916,-0.2511335611343384,-0.2545696794986725,-0.2467437982559204,-0.25835680961608887,-0.25332528352737427,-0.252735435962677,-0.2551109790802002
"a smoky rock had hung so sternly low<br>and silent, on this towering vale below<br>the forest in track on the natal shore<br>his accents fell, an angel was before",-0.23281389474868774,-0.24719341099262238,-0.2552337944507599,-0.2571237087249756,-0.25438225269317627,-0.25810766220092773,-0.24448759853839874,-0.260597825050354,-0.2554567754268646,-0.2538789212703705,-0.2541486918926239
"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he ne'er unworthy are of praise <br>‘ tiske the modest and sun",-0.23289328813552856,-0.24750471115112305,-0.2562595307826996,-0.25765424966812134,-0.2541769742965698,-0.2573690414428711,-0.24503827095031738,-0.26033276319503784,-0.2559179365634918,-0.25424256920814514,-0.2530369460582733
"but i advise against resistance. we,<br>the chosen ones of heaven must have kiss.<br>the children must obey and never see,<br>remember nothing. only heaven knows.<br>remember only that, remember. we,<br>however many people suffer blows,<br>believe that only heaven judges me.<br>remember also that the very fact,<br>whoever judges, judges, judges) act.",-0.2328595519065857,-0.24779538810253143,-0.2549492120742798,-0.25606560707092285,-0.25342488288879395,-0.25678929686546326,-0.24301983416080475,-0.2586952745914459,-0.2541723847389221,-0.252620130777359,-0.25273388624191284
"references : masson 's life and times of john milton ; milton<br>( classical writers ) , by stopford brooke ; milton ( english men of<br>letters ) , by mark pattison ; macaulay 's essay on milton ; de quincey ,<br>milton vs. southey and landor ; coleridge 's literary remains ;<br>johnson 's lives of the poets ; hazlitt 's english poets .",-0.23289336264133453,-0.2449617236852646,-0.25435057282447815,-0.2556561827659607,-0.25208011269569397,-0.25549426674842834,-0.24645602703094482,-0.25956863164901733,-0.2528488039970398,-0.25223684310913086,-0.24981917440891266
