poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside",-0.5555555555555556,-1.0,0.0,-0.5,0.0,0.0,-1.0,-1.0,-0.5,-1.0,-0.5
"without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",0.14814814814814814,0.5,0.0,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.5,0.3333333333333333
"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",0.6296296296296297,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,-0.22875816993464052,-0.17647058823529413,0.17647058823529413,-0.17647058823529413,-0.29411764705882354,-0.4117647058823529,-0.4117647058823529,-0.17647058823529413,-0.4117647058823529,-0.17647058823529413,-0.29411764705882354
"bear witness , once my comrades , what a hard-bit gang were we —<br>the servants of the sweep-head , but the masters of the sea !<br>by the hands that drove her forward as she plunged and yawed and<br>sheered ,<br>woman , man , or god , or devil , was there anything we feared ?",-0.24444444444444444,-0.2,-0.6,-0.2,-0.6,-0.6,-0.6,-0.2,0.2,0.6,-0.2
"the day of the world shall come , and the world is free ! <br>i am not longer , my love , <br>and the simple power of all the rest . ” <br>the spirit of the silver",0.2222222222222222,0.2,0.0,0.2,0.0,0.2,0.6,0.4,0.2,0.2,0.6
"because) he always answered better, more,<br>perhaps, because he always answered( track,<br>before and after, progress, any score,<br>before, before the picture, any, all,<br>before the pictures ever happened) he,<br>because the picture always happens small,<br>because the picture always happened free,<br>because he only answered free because,<br>because, because. because because he draws.",-0.05555555555555555,-0.16666666666666666,0.0,-0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.3333333333333333,-0.3333333333333333,0.16666666666666666
"about an unemployment compensation. <br>is wrong but then some kids have fluent speakers, <br>their latest music on discrimination ! <br>they really wanna try to battle preachers. <br><br>we know another very lesson plan ! <br>as when the only little alto clef, <br>would ever mention me and horace mann ! <br>or see a million women getting deaf.",-0.05555555555555555,0.0,0.5,0.5,0.0,-0.5,0.0,0.0,-0.5,-0.5,0.0
"and when the child grew strive ,<br>and all the anguish become man .<br>we use his master<br>to earth and older , has they sink the horns .<br>the river comes , now still far , still comes clear ,<br>hear the clear feels",0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
"it is because the ships beside the shore<br>spread their dark sails to the sea-blowing breeze ;<br>the tide is high , and soon will set toward the distant islands ,<br>and there is a gleam of swords and armour ,<br>for the soldiers go to war beyond the seas .",0.48148148148148145,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333
"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he ne'er unworthy are of praise <br>‘ tiske the modest proportions to",-0.30434782608695654,-0.30434782608695654,-0.13043478260869565,-0.30434782608695654,-0.13043478260869565,-0.21739130434782608,-0.4782608695652174,-0.6521739130434783,-0.30434782608695654,-0.21739130434782608,-0.391304347826087
"o night , hide me in your long cold arms :<br>let me sleep , but let me not live this life !<br>there are too many people with haggard eyes standing<br>before me<br>saying , “ to live you must suffer even as we . ”",0.022222222222222223,0.0,-0.2,0.2,0.2,0.2,-0.2,-0.2,0.4,-0.2,0.4
"i sang a little bird <br>beneath the moon , <br>and the wind has a rose on the shore , <br>and the eye of the sun in the sky ,",-0.4074074074074074,0.3333333333333333,-0.3333333333333333,-1.0,0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333
"the world was in its day of peril dark and glorious <br>wont to believe the dot of fond love, with one <br>in the dawn of the very same ; and when the storm <br>in one dim bourne, from starry bade, iove's eye <br>that looked and",-0.21481481481481482,-0.4666666666666667,-0.06666666666666667,-0.4666666666666667,-0.2,-0.6,-0.06666666666666667,0.2,-0.3333333333333333,0.06666666666666667,-0.4666666666666667
"as you forgot i may forget ,<br>when summer dews cease to be wet .<br>when whippoorwills disdain the night ,<br>when sun and moon are no more bright ,<br>and all the stars at midnight set .",-0.037037037037037035,1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
"they are not dead , nor thousands of death ; <br>‘ tis not that the earth is not there . <br>then the same gray fox <br>that cannot be done .",-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.0,1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.0
"a smoky rock had hung so sternly low<br>and silent, on this towering vale below<br>the forest in track on the natal shore<br>his accents fell, an angel was before",0.05982905982905983,0.07692307692307693,0.23076923076923078,0.23076923076923078,-0.5384615384615384,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.07692307692307693,-0.23076923076923078,0.23076923076923078
"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he ne'er unworthy are of praise <br>‘ tiske the modest and sun",-0.26570048309178745,-0.4782608695652174,-0.043478260869565216,-0.13043478260869565,-0.4782608695652174,-0.4782608695652174,-0.4782608695652174,-0.21739130434782608,0.043478260869565216,-0.13043478260869565,-0.4782608695652174
"but i advise against resistance. we,<br>the chosen ones of heaven must have kiss.<br>the children must obey and never see,<br>remember nothing. only heaven knows.<br>remember only that, remember. we,<br>however many people suffer blows,<br>believe that only heaven judges me.<br>remember also that the very fact,<br>whoever judges, judges, judges) act.",0.18518518518518517,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333
"references : masson 's life and times of john milton ; milton<br>( classical writers ) , by stopford brooke ; milton ( english men of<br>letters ) , by mark pattison ; macaulay 's essay on milton ; de quincey ,<br>milton vs. southey and landor ; coleridge 's literary remains ;<br>johnson 's lives of the poets ; hazlitt 's english poets .",-0.7037037037037037,-0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0
"where will-o ’ - the-wisps and glow-worms shine ,<br>in bulrush and in brake ;<br>where waving mosses shroud the pine ,<br>and the cedar grows , and the poisonous vine<br>is spotted like the snake ;",0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
"the castle of our desire vult, and we desire <br>we should a drink, as full, as dry, and as indeed <br>we cannot touch the tables, as indeed they are <br>the stay of queens above, and list to adventures of men <br>with flowing water and a listless store",-0.2,0.0,-0.2,-0.4,-0.2,-0.2,-0.2,-0.2,0.0,-0.4,0.0
"and they live by nature 's lord 's their own <br>nor know the though stretched of too short to fall <br>not blind therewith the herd for their pow'r <br>at twelve o'clock , to find them all",0.022222222222222223,0.0,0.2,0.4,0.0,0.8,0.2,-0.4,-0.4,-0.6,0.0
"the world was in its day of peril dark and glorious <br>wontian, marsepulchral, helen we were sons <br>in the lone sky and in the aisles stretch of dreams <br>but when the shades of death did not set <br>her eyes were dazzled,",-0.022222222222222223,-0.6,-0.2,-0.6,-0.2,-0.2,0.2,0.6,-0.2,1.0,-0.6
"i do not ask for me a thing , <br>and i 'll be a boy , as i am here , <br>and i am weary , and my heart and soul , <br>i will not go .",0.4074074074074074,1.0,-0.3333333333333333,-1.0,1.0,0.3333333333333333,1.0,1.0,1.0,-0.3333333333333333,-0.3333333333333333
"then let us all most merry be ,<br>and sing with cheerful voice ,<br>for we have good occasion now<br>this time for to rejoice .<br>for , etc .",0.25925925925925924,-1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
"the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the stones <br>with allrespect, as he who with his maker knew <br>the gorge with ferns and more desired, he",-0.19111111111111112,-0.36,0.04,-0.44,-0.2,-0.28,-0.04,0.12,-0.12,-0.44,-0.2
"from the to a little boat ,<br>the dawn , the blue and real his voice ,<br>the angry widow breast ;<br>but sound brilliant voice his silly deadlier ancient do<br>thy due , and cannot save<br>if god pierce wanting , that we show ? we",0.48148148148148145,1.0,-0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
"surrounded by my greatest millionaire, <br>i hid behind this pretty small cafe ! <br>no one who ever had an empty chair ! <br>was very busy selling triple j. <br><br>and people having talent competition. <br>with fifty hundred million featuring, <br>for any famous little paris hilton ! <br>to show the world of other teams competing.",0.48148148148148145,0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,-0.3333333333333333,0.3333333333333333
"the castle of our desire vultures we should defend <br>and blot the modest el vines with fraternal rage <br>spread like a bessoon by the siciest women's malice rear <br>the castle snowed columns, lest it should fall <br>his ruinic heat should stain the modest air",-0.25252525252525254,-0.45454545454545453,-0.6363636363636364,-0.2727272727272727,0.2727272727272727,-0.45454545454545453,-0.2727272727272727,-0.09090909090909091,-0.8181818181818182,0.45454545454545453,0.09090909090909091
"and next is the island-of-lullaby ,<br>and every one there rejoices .<br>the winds are only a perfumed sigh ,<br>and the birds that sing in the treetops try<br>to imitate mothers ’ voices .",0.7777777777777778,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333
"the breed's described : now, with a merrynet <br>and a wintery bier than enough and shall be <br>in winter and in solitude ; the winter's gone <br>and the zumber is in the lily and the snow <br>here too the verdure of the gather",-0.2,-0.8,0.0,0.0,0.2,-0.4,-0.6,-0.2,0.0,0.0,0.2
"saw ye my saviour ? heard ye the glad sound ?<br>felt ye the power of the word ?<br>‘ twas the truth that made us free ,<br>and was found by you and me<br>in the life and the love of our lord .",-0.4,-0.4,-0.4,-0.8,-0.2,-0.2,-0.8,-0.2,0.0,-0.6,-0.2
