poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was",0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504,0.14537163235252504
"look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366,0.5110787110523366
"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.",0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372,0.406820664460372
"my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896,-0.21206467055251896
"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.",0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915,0.704878157487915
"and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327,0.2371782819198327
"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold",0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587,0.1624219091728587
"little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923,0.003005107939055923
"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .",-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928,-0.03546187363796928
"when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459,-0.10112668140640459
"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times",0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893,0.29176025561893
"an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031,0.508906515660031
"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .",0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188,0.00669376806031188
"the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586,0.699228096585586
"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.",0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942,0.290434813445942
"he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985,0.007399366639933985
"i am tire now of roam ’ , rosemarie ,<br>an ’ long to be at home ‘ mong de tree ,<br>w'ere de robin redbreas ’ sing<br>in de branches every spring ,<br>an ’ de bes ’ of everyt'ing , you wit ’ me !",0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682,0.21225247687013682
"they wanna listen mister uncle ben. <br>have mercy goodness gracious bad email ! <br>not even bother calling me amen, <br>for whom my mother ought to send e mail. <br><br>too many people under handed swords, <br>a random form of java javascript ! <br>and putting freedom on the message boards ! <br>an answer never ever really zipped.",0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182,0.3976658664099182
"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .",0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365,0.4195802296400365
"with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628,0.22504098959995628
"death<br>i never become a man who 's thief and frankly<br>from leafless as sunny please thee<br>as presence , weak from human free up within<br>the tongues snake clouds and no meet many .<br>the days that from the dark gloom ,",0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455,0.29954167733157455
"the drone of clouds must sudden be your anguish <br>for if they weep for me , thy strings ill ease <br>i prove on earth in each imaginings <br>virtuous and so well in many a story",0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245,0.4610296461056245
"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside",0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482,0.018726788777560482
"without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273,0.7358693314801273
